corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,dip_vs_trend,4,2023-01…2023-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4114}",True,10.0,
TJS,ml_localmin,4,2023-01…2023-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0254, ""_fitted"": true, ""_pos_rate_val"": 0.441}",,,True
TJS,momentum,5,2023-07…2023-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
TJS,level,5,2023-07…2023-12,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 26, ""_score"": 1.4114}",True,26.0,
TJS,reversal,5,2023-07…2023-12,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1542}",True,4.0,
TJS,seasonality,5,2023-07…2023-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
TJS,dip_vs_trend,5,2023-07…2023-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.4114}",True,7.0,
TJS,ml_localmin,5,2023-07…2023-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0295, ""_fitted"": true, ""_pos_rate_val"": 0.407}",,,True
TJS,momentum,6,2024-01…2024-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
TJS,level,6,2024-01…2024-06,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4114}",True,23.0,
TJS,reversal,6,2024-01…2024-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1542}",True,4.0,
TJS,seasonality,6,2024-01…2024-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
TJS,dip_vs_trend,6,2024-01…2024-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4114}",True,10.0,
TJS,ml_localmin,6,2024-01…2024-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.1275, ""_fitted"": true, ""_pos_rate_val"": 0.5}",,,True
