corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,89,0.5842696629213483,0.49166254176300694,1.1954022988505748,0.893939393939394,63.69753229419393,115.19397670531573,0.30434782608695654,1.1883550469927404
AMD,WINDOW_CLOSING,6,9,0.5555555555555556,0.3634844753488821,1.8951612903225805,1.8951612903225805,136.82048716453454,169.85901497170497,0.03867403314917127,1.5284161861997503
KGS,BUY_NOW,11,95,0.5368421052631579,0.4768019657616279,1.1856617647058822,0.9285714285714285,37.17558233811205,55.565238734322755,0.30434782608695654,1.125922592214199
KGS,WINDOW_CLOSING,6,13,0.46153846153846156,0.3966965440086328,0.5850000000000001,0.5850000000000001,64.53812120475165,-23.145462790407564,0.0573804948354552,1.1634547074058141
KZT,BUY_NOW,11,97,0.5360824742268041,0.48819326924982176,1.086842105263158,1.2580645161290323,34.18515120061409,16.316632621272902,0.30434782608695654,1.0980947669568877
KZT,WINDOW_CLOSING,6,11,0.09090909090909091,0.2546135740598155,0.0,0.0,23.5760112621424,-50.64669636334074,0.038567785805354866,0.35704730686406355
TJS,BUY_NOW,11,82,0.524390243902439,0.5498239990694065,0.9833333333333334,0.6882352941176471,-2.871395047487212,64.93855583014474,0.30434782608695654,0.9537420061510323
TJS,WINDOW_CLOSING,4,11,0.5454545454545454,0.44762533922959624,1.296875,1.296875,58.89709203278919,63.923801345021815,0.09668508287292818,1.2185515377510177
UZS,BUY_NOW,11,81,0.4444444444444444,0.4901080324219727,0.7335423197492164,0.7800000000000001,-11.753775744598293,-27.957561768483767,0.266304347826087,0.9068295458210061
UZS,WINDOW_CLOSING,8,17,0.5294117647058824,0.34877070240282926,1.8109548167092924,1.8109548167092924,167.81125338863887,77.18221577581674,0.0579048023799405,1.5179364581329229
