corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,dip_vs_trend,1,2021-07…2021-12,"{""span"": 80, ""window"": 250, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 11, ""_score"": 1.4646}",True,11.0,
TJS,ml_localmin,1,2021-07…2021-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0529, ""_fitted"": true, ""_pos_rate_val"": 0.403}",,,True
TJS,momentum,2,2022-01…2022-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 0.9952}",True,2.0,
TJS,level,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.5535}",True,2.0,
TJS,reversal,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.7596}",True,10.0,
TJS,seasonality,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2074}",True,4.0,
TJS,dip_vs_trend,2,2022-01…2022-06,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5535}",True,14.0,
TJS,ml_localmin,2,2022-01…2022-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0004, ""_fitted"": true, ""_pos_rate_val"": 0.895}",,,True
TJS,momentum,3,2022-07…2022-12,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 0.9148}",True,2.0,
TJS,level,3,2022-07…2022-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.5535}",True,2.0,
TJS,reversal,3,2022-07…2022-12,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.5976}",True,7.0,
TJS,seasonality,3,2022-07…2022-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1752}",True,4.0,
TJS,dip_vs_trend,3,2022-07…2022-12,"{""span"": 20, ""window"": 120, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 0.9321}",True,7.0,
TJS,ml_localmin,3,2022-07…2022-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0001, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
TJS,momentum,4,2023-01…2023-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.1209}",True,3.0,
TJS,level,4,2023-01…2023-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.5983}",True,3.0,
TJS,reversal,4,2023-01…2023-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.5976}",True,12.0,
TJS,seasonality,4,2023-01…2023-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1752}",True,4.0,
TJS,dip_vs_trend,4,2023-01…2023-06,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.1166}",True,13.0,
TJS,ml_localmin,4,2023-01…2023-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0015, ""_fitted"": true, ""_pos_rate_val"": 0.63}",,,True
TJS,momentum,5,2023-07…2023-12,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0628}",True,3.0,
TJS,level,5,2023-07…2023-12,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.5983}",True,4.0,
TJS,reversal,5,2023-07…2023-12,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.5976}",True,13.0,
TJS,seasonality,5,2023-07…2023-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1752}",True,4.0,
TJS,dip_vs_trend,5,2023-07…2023-12,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.1166}",True,14.0,
TJS,ml_localmin,5,2023-07…2023-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0007, ""_fitted"": true, ""_pos_rate_val"": 0.596}",,,True
TJS,momentum,6,2024-01…2024-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0628}",True,3.0,
TJS,level,6,2024-01…2024-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 5, ""_score"": 1.5983}",True,5.0,
TJS,reversal,6,2024-01…2024-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 17, ""_score"": 1.5976}",True,17.0,
TJS,seasonality,6,2024-01…2024-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1752}",True,4.0,
TJS,dip_vs_trend,6,2024-01…2024-06,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.1166}",True,13.0,
TJS,ml_localmin,6,2024-01…2024-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.1318, ""_fitted"": true, ""_pos_rate_val"": 0.667}",,,True
TJS,momentum,7,2024-07…2024-12,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0292}",True,3.0,
TJS,level,7,2024-07…2024-12,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.5983}",True,6.0,
TJS,reversal,7,2024-07…2024-12,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 18, ""_score"": 1.5976}",True,18.0,
TJS,seasonality,7,2024-07…2024-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.235}",True,4.0,
TJS,dip_vs_trend,7,2024-07…2024-12,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 0.8576}",True,13.0,
TJS,ml_localmin,7,2024-07…2024-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 0.8}",,,True
TJS,momentum,8,2025-01…2025-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0292}",True,3.0,
TJS,level,8,2025-01…2025-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.5522}",True,6.0,
TJS,reversal,8,2025-01…2025-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.5976}",True,19.0,
TJS,seasonality,8,2025-01…2025-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.235}",True,4.0,
TJS,dip_vs_trend,8,2025-01…2025-06,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 0.9832}",True,14.0,
TJS,ml_localmin,8,2025-01…2025-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0016, ""_fitted"": true, ""_pos_rate_val"": 0.77}",,,True
TJS,momentum,9,2025-07…2025-12,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 0.972}",True,3.0,
TJS,level,9,2025-07…2025-12,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 5, ""_score"": 1.6769}",True,5.0,
TJS,reversal,9,2025-07…2025-12,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 17, ""_score"": 1.5976}",True,17.0,
TJS,seasonality,9,2025-07…2025-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1115}",True,4.0,
TJS,dip_vs_trend,9,2025-07…2025-12,"{""span"": 80, ""window"": 120, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 9, ""_score"": 0.8832}",True,9.0,
TJS,ml_localmin,9,2025-07…2025-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0014, ""_fitted"": true, ""_pos_rate_val"": 0.635}",,,True
TJS,momentum,10,2026-01…2026-06,"{""n"": 5, ""rearm"": 2, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 0.972}",True,3.0,
TJS,level,10,2026-01…2026-06,"{""window"": 120, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.5423}",True,6.0,
TJS,reversal,10,2026-01…2026-06,"{""window"": 120, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 19, ""_score"": 1.5976}",True,19.0,
TJS,seasonality,10,2026-01…2026-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9725}",True,4.0,
TJS,dip_vs_trend,10,2026-01…2026-06,"{""span"": 20, ""window"": 120, ""pct"": 0.05, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 11, ""_score"": 0.863}",True,11.0,
TJS,ml_localmin,10,2026-01…2026-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0269, ""_fitted"": true, ""_pos_rate_val"": 0.267}",,,True
UZS,momentum,0,2021-01…2021-06,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.7643}",True,4.0,
UZS,level,0,2021-01…2021-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.9027}",False,0.0,
UZS,reversal,0,2021-01…2021-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.9526}",True,8.0,
UZS,seasonality,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,0,2021-01…2021-06,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.4937}",True,13.0,
UZS,ml_localmin,0,2021-01…2021-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 1.0, ""_fitted"": true, ""_pos_rate_val"": NaN}",,,True
UZS,momentum,1,2021-07…2021-12,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.7643}",True,4.0,
UZS,level,1,2021-07…2021-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.9027}",False,0.0,
UZS,reversal,1,2021-07…2021-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.9526}",True,6.0,
UZS,seasonality,1,2021-07…2021-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,1,2021-07…2021-12,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.5785}",True,14.0,
UZS,ml_localmin,1,2021-07…2021-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0332, ""_fitted"": true, ""_pos_rate_val"": 0.289}",,,True
UZS,momentum,2,2022-01…2022-06,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.7643}",True,4.0,
UZS,level,2,2022-01…2022-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": false, ""_n_feasible"": 0, ""_score"": 1.2531}",False,0.0,
UZS,reversal,2,2022-01…2022-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.9763}",True,6.0,
UZS,seasonality,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,2,2022-01…2022-06,"{""span"": 40, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 17, ""_score"": 1.5785}",True,17.0,
UZS,ml_localmin,2,2022-01…2022-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0002, ""_fitted"": true, ""_pos_rate_val"": 0.957}",,,True
UZS,momentum,3,2022-07…2022-12,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.7643}",True,4.0,
UZS,level,3,2022-07…2022-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 1, ""_score"": 1.2292}",True,1.0,
UZS,reversal,3,2022-07…2022-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.7915}",True,7.0,
UZS,seasonality,3,2022-07…2022-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,3,2022-07…2022-12,"{""span"": 80, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.5398}",True,13.0,
UZS,ml_localmin,3,2022-07…2022-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0001, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
UZS,momentum,4,2023-01…2023-06,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0521}",True,3.0,
UZS,level,4,2023-01…2023-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 1, ""_score"": 1.4276}",True,1.0,
UZS,reversal,4,2023-01…2023-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 9, ""_score"": 1.7915}",True,9.0,
UZS,seasonality,4,2023-01…2023-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,4,2023-01…2023-06,"{""span"": 80, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 15, ""_score"": 1.4702}",True,15.0,
UZS,ml_localmin,4,2023-01…2023-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0257, ""_fitted"": true, ""_pos_rate_val"": 0.406}",,,True
UZS,momentum,5,2023-07…2023-12,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0329}",True,3.0,
UZS,level,5,2023-07…2023-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.2667}",True,2.0,
UZS,reversal,5,2023-07…2023-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 11, ""_score"": 1.7915}",True,11.0,
UZS,seasonality,5,2023-07…2023-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,5,2023-07…2023-12,"{""span"": 80, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 17, ""_score"": 1.4702}",True,17.0,
UZS,ml_localmin,5,2023-07…2023-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0202, ""_fitted"": true, ""_pos_rate_val"": 0.258}",,,True
UZS,momentum,6,2024-01…2024-06,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0329}",True,3.0,
UZS,level,6,2024-01…2024-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.2667}",True,2.0,
UZS,reversal,6,2024-01…2024-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.7915}",True,12.0,
UZS,seasonality,6,2024-01…2024-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9802}",True,4.0,
UZS,dip_vs_trend,6,2024-01…2024-06,"{""span"": 80, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 14, ""_score"": 1.4702}",True,14.0,
UZS,ml_localmin,6,2024-01…2024-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0846, ""_fitted"": true, ""_pos_rate_val"": 0.5}",,,True
UZS,momentum,7,2024-07…2024-12,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.0329}",True,3.0,
UZS,level,7,2024-07…2024-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.2667}",True,2.0,
UZS,reversal,7,2024-07…2024-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.7915}",True,12.0,
UZS,seasonality,7,2024-07…2024-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0047}",True,4.0,
UZS,dip_vs_trend,7,2024-07…2024-12,"{""span"": 80, ""window"": 250, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.0599}",True,16.0,
UZS,ml_localmin,7,2024-07…2024-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0013, ""_fitted"": true, ""_pos_rate_val"": 0.685}",,,True
UZS,momentum,8,2025-01…2025-06,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0329}",True,4.0,
UZS,level,8,2025-01…2025-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.046}",True,2.0,
UZS,reversal,8,2025-01…2025-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.7915}",True,13.0,
UZS,seasonality,8,2025-01…2025-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0047}",True,4.0,
UZS,dip_vs_trend,8,2025-01…2025-06,"{""span"": 20, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 16, ""_score"": 1.1234}",True,16.0,
UZS,ml_localmin,8,2025-01…2025-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0006, ""_fitted"": true, ""_pos_rate_val"": 0.719}",,,True
UZS,momentum,9,2025-07…2025-12,"{""n"": 6, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0329}",True,4.0,
UZS,level,9,2025-07…2025-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 1, ""_score"": 1.2667}",True,1.0,
UZS,reversal,9,2025-07…2025-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 11, ""_score"": 1.7915}",True,11.0,
UZS,seasonality,9,2025-07…2025-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0292}",True,4.0,
UZS,dip_vs_trend,9,2025-07…2025-12,"{""span"": 20, ""window"": 250, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.369}",True,13.0,
